object_id,treatment,url
obj-001,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-001.bin
obj-002,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-002.bin
obj-003,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-003.bin
obj-004,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-004.bin
obj-005,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-005.bin
obj-006,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-006.bin
obj-007,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-007.bin
obj-008,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-008.bin
obj-009,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-009.bin
obj-010,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-010.bin
obj-011,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-011.bin
obj-012,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-012.bin
obj-013,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-013.bin
obj-014,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-014.bin
obj-015,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-015.bin
obj-016,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-016.bin
obj-017,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-017.bin
obj-018,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-018.bin
obj-019,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-019.bin
obj-020,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-020.bin
obj-021,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-021.bin
obj-022,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-022.bin
obj-023,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-023.bin
obj-024,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-024.bin
obj-025,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-025.bin
obj-026,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-026.bin
obj-027,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-027.bin
obj-028,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-028.bin
obj-029,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-029.bin
obj-030,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/de-frankfurt/obj-030.bin
