object_id,treatment,url
obj-001,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-001.bin
obj-002,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-002.bin
obj-003,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-003.bin
obj-004,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-004.bin
obj-005,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-005.bin
obj-006,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-006.bin
obj-007,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-007.bin
obj-008,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-008.bin
obj-009,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-009.bin
obj-010,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-010.bin
obj-011,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-011.bin
obj-012,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-012.bin
obj-013,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-013.bin
obj-014,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-014.bin
obj-015,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-015.bin
obj-016,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-016.bin
obj-017,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-017.bin
obj-018,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-018.bin
obj-019,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-019.bin
obj-020,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-020.bin
obj-021,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-021.bin
obj-022,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-022.bin
obj-023,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-023.bin
obj-024,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-024.bin
obj-025,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-025.bin
obj-026,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-026.bin
obj-027,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-027.bin
obj-028,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-028.bin
obj-029,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-029.bin
obj-030,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-030.bin
obj-031,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-031.bin
obj-032,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-032.bin
obj-033,cold,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-033.bin
obj-034,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-034.bin
obj-035,hot,https://cloudfront.jumpserve.dev/objects/trials/cloudfront-vpn-20260827t232808z/trial-01/us-los-angeles/obj-035.bin
