object_id,treatment,url
obj-001,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-001.bin
obj-002,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-002.bin
obj-003,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-003.bin
obj-004,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-004.bin
obj-005,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-005.bin
obj-006,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-006.bin
obj-007,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-007.bin
obj-008,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-008.bin
obj-009,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-009.bin
obj-010,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-010.bin
obj-011,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-011.bin
obj-012,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-012.bin
obj-013,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-013.bin
obj-014,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-014.bin
obj-015,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-015.bin
obj-016,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-016.bin
obj-017,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-017.bin
obj-018,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-018.bin
obj-019,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-019.bin
obj-020,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-020.bin
obj-021,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-021.bin
obj-022,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-022.bin
obj-023,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-023.bin
obj-024,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-024.bin
obj-025,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-025.bin
obj-026,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-026.bin
obj-027,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-027.bin
obj-028,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-028.bin
obj-029,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-029.bin
obj-030,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-030.bin
obj-031,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-031.bin
obj-032,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-032.bin
obj-033,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-033.bin
obj-034,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-034.bin
obj-035,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-035.bin
obj-036,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-036.bin
obj-037,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-037.bin
obj-038,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-038.bin
obj-039,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-039.bin
obj-040,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-01/us-los-angeles/obj-040.bin
