object_id,treatment,url
obj-001,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-001.bin
obj-002,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-002.bin
obj-003,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-003.bin
obj-004,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-004.bin
obj-005,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-005.bin
obj-006,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-006.bin
obj-007,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-007.bin
obj-008,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-008.bin
obj-009,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-009.bin
obj-010,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-010.bin
obj-011,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-011.bin
obj-012,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-012.bin
obj-013,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-013.bin
obj-014,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-014.bin
obj-015,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-015.bin
obj-016,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-016.bin
obj-017,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-017.bin
obj-018,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-018.bin
obj-019,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-019.bin
obj-020,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/de-frankfurt/obj-020.bin
