object_id,treatment,url
obj-001,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-001.bin
obj-002,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-002.bin
obj-003,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-003.bin
obj-004,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-004.bin
obj-005,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-005.bin
obj-006,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-006.bin
obj-007,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-007.bin
obj-008,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-008.bin
obj-009,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-009.bin
obj-010,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-010.bin
obj-011,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-011.bin
obj-012,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-012.bin
obj-013,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-013.bin
obj-014,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-014.bin
obj-015,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-015.bin
obj-016,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-016.bin
obj-017,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-017.bin
obj-018,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-018.bin
obj-019,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-019.bin
obj-020,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-020.bin
obj-021,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-021.bin
obj-022,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-022.bin
obj-023,hot,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-023.bin
obj-024,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-024.bin
obj-025,cold,https://cf-cache-neutral-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/neutral-vpn-20260827t184224z/trial-02/us-los-angeles/obj-025.bin
