object_id,treatment,url
obj-001,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-001.bin
obj-002,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-002.bin
obj-003,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-003.bin
obj-004,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-004.bin
obj-005,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-005.bin
obj-006,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-006.bin
obj-007,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-007.bin
obj-008,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-008.bin
obj-009,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-009.bin
obj-010,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-010.bin
obj-011,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-011.bin
obj-012,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-012.bin
obj-013,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-013.bin
obj-014,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-014.bin
obj-015,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-015.bin
obj-016,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-016.bin
obj-017,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-017.bin
obj-018,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-018.bin
obj-019,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-019.bin
obj-020,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-020.bin
obj-021,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-021.bin
obj-022,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-022.bin
obj-023,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-023.bin
obj-024,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-024.bin
obj-025,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-025.bin
obj-026,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-026.bin
obj-027,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-027.bin
obj-028,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-028.bin
obj-029,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-029.bin
obj-030,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-030.bin
obj-031,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-031.bin
obj-032,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-032.bin
obj-033,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-033.bin
obj-034,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-034.bin
obj-035,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-035.bin
obj-036,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-036.bin
obj-037,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-037.bin
obj-038,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-038.bin
obj-039,hot,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-039.bin
obj-040,cold,https://fastly.jumpserve.dev/objects/trials/neutral-vpn-20260827t184224z/trial-03/sg-singapore/obj-040.bin
