object_id,treatment,url
obj-001,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-001.bin
obj-002,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-002.bin
obj-003,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-003.bin
obj-004,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-004.bin
obj-005,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-005.bin
obj-006,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-006.bin
obj-007,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-007.bin
obj-008,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-008.bin
obj-009,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-009.bin
obj-010,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-010.bin
obj-011,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-011.bin
obj-012,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-012.bin
obj-013,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-013.bin
obj-014,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-014.bin
obj-015,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-015.bin
obj-016,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-016.bin
obj-017,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-017.bin
obj-018,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-018.bin
obj-019,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-019.bin
obj-020,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-020.bin
obj-021,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-021.bin
obj-022,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-022.bin
obj-023,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-023.bin
obj-024,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-024.bin
obj-025,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-025.bin
obj-026,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-026.bin
obj-027,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-027.bin
obj-028,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-028.bin
obj-029,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-029.bin
obj-030,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-030.bin
obj-031,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-031.bin
obj-032,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-032.bin
obj-033,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-033.bin
obj-034,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-034.bin
obj-035,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-035.bin
obj-036,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-036.bin
obj-037,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-037.bin
obj-038,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-038.bin
obj-039,cold,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-039.bin
obj-040,hot,https://cf-cache-do-origin-probe.jumpserve-cache-study-20260826.workers.dev/objects/trials/three-cdn-vpn-20260829t001912z/trial-01/sg-singapore/obj-040.bin
