object_id,treatment,url
obj-001,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-001.bin
obj-002,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-002.bin
obj-003,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-003.bin
obj-004,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-004.bin
obj-005,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-005.bin
obj-006,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-006.bin
obj-007,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-007.bin
obj-008,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-008.bin
obj-009,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-009.bin
obj-010,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-010.bin
obj-011,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-011.bin
obj-012,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-012.bin
obj-013,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-013.bin
obj-014,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-014.bin
obj-015,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-015.bin
obj-016,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-016.bin
obj-017,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-017.bin
obj-018,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-018.bin
obj-019,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-019.bin
obj-020,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-020.bin
obj-021,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-021.bin
obj-022,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-022.bin
obj-023,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-023.bin
obj-024,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-024.bin
obj-025,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-025.bin
obj-026,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-026.bin
obj-027,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-027.bin
obj-028,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-028.bin
obj-029,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-029.bin
obj-030,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-030.bin
obj-031,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-031.bin
obj-032,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-032.bin
obj-033,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-033.bin
obj-034,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-034.bin
obj-035,cold,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-035.bin
obj-036,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-036.bin
obj-037,hot,https://fastly-do.jumpserve.dev/objects/trials/three-cdn-vpn-20260830t035323z/trial-01/de-frankfurt/obj-037.bin
