object_id,treatment,url
hot-001,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-01.bin
hot-002,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-02.bin
hot-003,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-03.bin
hot-004,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-04.bin
hot-005,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-05.bin
hot-006,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-06.bin
hot-007,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-07.bin
hot-008,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-08.bin
hot-009,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-09.bin
hot-010,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-10.bin
hot-011,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-11.bin
hot-012,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-12.bin
hot-013,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-13.bin
hot-014,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-14.bin
hot-015,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-15.bin
hot-016,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-16.bin
hot-017,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-17.bin
hot-018,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-18.bin
hot-019,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-19.bin
hot-020,hot,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-hot-20.bin
cold-001,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-01.bin
cold-002,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-02.bin
cold-003,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-03.bin
cold-004,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-04.bin
cold-005,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-05.bin
cold-006,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-06.bin
cold-007,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-07.bin
cold-008,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-08.bin
cold-009,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-09.bin
cold-010,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-10.bin
cold-011,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-11.bin
cold-012,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-12.bin
cold-013,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-13.bin
cold-014,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-14.bin
cold-015,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-15.bin
cold-016,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-16.bin
cold-017,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-17.bin
cold-018,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-18.bin
cold-019,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-19.bin
cold-020,cold,https://cf-cache-local-probe.jumpserve-cache-study-20260826.workers.dev/object/vpn-20260827t024358z-lax-cold-20.bin
